"id_coop","id_territoire"
"polem14","polem_t0057"
"polem14","polem_t0091"
"polem14","polem_t0098"
"polem14","polem_t0099"
"polem15","polem_t0001"
"polem15","polem_t0061"
"polem15","polem_t0089"
"polem15","polem_t0092"
"polem15","polem_t0094"
"polem15","polem_t0117"
"polem15","polem_t0118"
"polem16","polem_t0019"
"polem16","polem_t0044"
"polem16","polem_t0140"
"polem16","polem_t0142"
"polem17","polem_t0015"
"polem17","polem_t0032"
"polem17","polem_t0044"
"polem17","polem_t0060"
"polem17","polem_t0064"
"polem17","polem_t0072"
"polem17","polem_t0096"
"polem17","polem_t0122"
"polem18","polem_t0068"
"polem18","polem_t0100"
"polem18","polem_t0105"
"polem18","polem_t0111"
"polem18","polem_t0112"
"polem18","polem_t0115"
"polem18","polem_t0130"
"polem18","polem_t0132"
"polem19","polem_t0001"
"polem19","polem_t0014"
"polem19","polem_t0125"
"polem19","polem_t0143"
"polem19","polem_t0144"
"polem2","polem_t0024"
"polem2","polem_t0026"
"polem20","polem_t0014"
"polem20","polem_t0069"
"polem20","polem_t0075"
"polem20","polem_t0107"
"polem20","polem_t0143"
"polem21","polem_t0002"
"polem21","polem_t0016"
"polem22","polem_t0036"
"polem22","polem_t0042"
"polem22","polem_t0078"
"polem22","polem_t0093"
"polem22","polem_t0101"
"polem23","polem_t0041"
"polem23","polem_t0070"
"polem23","polem_t0071"
"polem23","polem_t0077"
"polem23","polem_t0080"
"polem23","polem_t0084"
"polem23","polem_t0085"
"polem23","polem_t0134"
"polem24","polem_t0141"
"polem25","polem_t0043"
"polem25","polem_t0050"
"polem25","polem_t0073"
"polem25","polem_t0139"
"polem25","polem_t0145"
"polem26","polem_t0007"
"polem26","polem_t0011"
"polem26","polem_t0040"
"polem26","polem_t0046"
"polem26","polem_t0137"
"polem3","polem_t0023"
"polem3","polem_t0059"
"polem3","polem_t0076"
"polem3","polem_t0102"
"polem3","polem_t0116"
"polem3","polem_t0128"
"polem4","polem_t0031"
"polem4","polem_t0090"
"polem5","polem_t0010"
"polem5","polem_t0028"
"polem5","polem_t0048"
"polem6","polem_t0022"
"polem6","polem_t0035"
"polem6","polem_t0039"
"polem6","polem_t0045"
"polem6","polem_t0055"
"polem6","polem_t0058"
"polem6","polem_t0062"
"polem6","polem_t0063"
"polem6","polem_t0066"
"polem6","polem_t0067"
"polem6","polem_t0074"
"polem6","polem_t0079"
"polem6","polem_t0087"
"polem6","polem_t0088"
"polem6","polem_t0110"
"polem6","polem_t0114"
"polem6","polem_t0121"
"polem6","polem_t0123"
"polem6","polem_t0124"
"polem6","polem_t0126"
"polem6","polem_t0127"
"polem6","polem_t0131"
"polem6","polem_t0133"
"polem6","polem_t0136"
"polem7","polem_t0005"
"polem7","polem_t0017"
"polem7","polem_t0030"
"polem7","polem_t0051"
"polem8","polem_t0018"
"polem8","polem_t0025"
"polem8","polem_t0027"
"polem8","polem_t0033"
"polem8","polem_t0082"
"polem8","polem_t0104"
"polem9","polem_t0006"
"polem9","polem_t0034"
"polem9","polem_t0037"
"polem9","polem_t0054"
"polem9","polem_t0056"
"polem9","polem_t0088"
"polem9","polem_t0119"
"polem9","polem_t0138"
"lyon3","lyon_t0000"
"lyon3","polem_t0043"
"lyon3","polem_t0050"
"lyon3","polem_t0073"
"lyon3","polem_t0139"
"lyon3","polem_t0145"
"lyon4","lyon_t0000"
"lyon4","polem_t0043"
"lyon4","polem_t0050"
"lyon4","polem_t0073"
"lyon4","polem_t0139"
"lyon4","polem_t0145"
"lyon5","lyon_t0000"
"lyon5","polem_t0043"
"lyon5","polem_t0050"
"lyon5","polem_t0073"
"lyon5","polem_t0139"
"lyon5","polem_t0145"
"lyon6","lyon_t0000"
"lyon6","polem_t0043"
"lyon6","polem_t0050"
"lyon6","polem_t0073"
"lyon6","polem_t0139"
"lyon6","polem_t0145"
"lyon9","lyon_t0000"
"lyon9","polem_t0043"
"lyon9","polem_t0050"
"lyon9","polem_t0073"
"lyon9","polem_t0139"
"lyon9","polem_t0145"
"lyon10","lyon_t0000"
"lyon10","polem_t0043"
"lyon10","polem_t0050"
"lyon10","polem_t0073"
"lyon10","polem_t0139"
"lyon10","polem_t0145"
"lyon7","lyon_t0000"
"lyon7","lyon_t0001"
"lyon7","lyon_t0002"
"lyon8","lyon_t0000"
"lyon8","lyon_t0003"
"lyon8","lyon_t0004"
"lyon13","lyon_t0000"
"lyon13","lyon_t0005"
"lyon13","lyon_t0006"
"lyon13","lyon_t0007"
"lyon13","lyon_t0008"
"lyon13","lyon_t0009"
"lyon13","lyon_t0010"
"lyon16","lyon_t0000"
"lyon16","lyon_t0012"
"lyon16","lyon_t0013"
"lyon16","lyon_t0014"
"lyon17","lyon_t0000"
"lyon17","lyon_t0015"
"lyon18","lyon_t0000"
"lyon18","lyon_t0021"
"lyon19","lyon_t0000"
"lyon19","lyon_t0021"
"lyon19","lyon_t0020"
"lyon19","lyon_t0022"
"metz1","metz_t0000"
"metz1","metz_t0001"
"metz1","metz_t0002"
"metz1","metz_t0003"
"metz1","metz_t0004"
"metz1","metz_t0005"
"metz1","metz_t0006"
"metz3","metz_t0000"
"metz3","metz_t0007"
"metz3","metz_t0006"
"metz3","metz_t0008"
"metz3","metz_t0009"
"metz3","metz_t0005"
"metz3","metz_t0003"
"metz4","metz_t0000"
"metz4","metz_t0007"
"metz4","metz_t0006"
"metz4","metz_t0008"
"metz4","metz_t0009"
"metz4","metz_t0005"
"metz4","metz_t0003"
"montpellier1","montpellier_t0000"
"montpellier1","montpellier_t0001"
"montpellier1","montpellier_t0002"
"montpellier1","montpellier_t0003"
"montpellier1","montpellier_t0004"
"montpellier1","montpellier_t0005"
"montpellier2","montpellier_t0000"
"montpellier2","montpellier_t0001"
"montpellier2","montpellier_t0002"
"montpellier2","montpellier_t0003"
"montpellier2","montpellier_t0004"
"montpellier2","montpellier_t0005"
"montpellier3","montpellier_t0000"
"montpellier3","montpellier_t0001"
"montpellier3","montpellier_t0002"
"montpellier3","montpellier_t0003"
"montpellier3","montpellier_t0004"
"montpellier3","montpellier_t0005"
"montpellier4","montpellier_t0000"
"montpellier4","montpellier_t0001"
"montpellier4","montpellier_t0002"
"montpellier4","montpellier_t0003"
"montpellier4","montpellier_t0004"
"montpellier4","montpellier_t0005"
"montpellier5","montpellier_t0000"
"montpellier5","montpellier_t0001"
"montpellier5","montpellier_t0002"
"montpellier5","montpellier_t0003"
"montpellier5","montpellier_t0004"
"montpellier5","montpellier_t0005"
"montpellier6","montpellier_t0000"
"montpellier6","montpellier_t0006"
"montpellier8","montpellier_t0000"
"montpellier8","montpellier_t0007"
"montpellier8","montpellier_t0008"
"montpellier8","montpellier_t0003"
"montpellier9","montpellier_t0000"
"montpellier9","montpellier_t0009"
"orleans2","orleans_t0001"
"orleans2","orleans_t0002"
"orleans2","orleans_t0003"
"orleans8","orleans_t0000"
"orleans8","orleans_t0004"
"orleans8","orleans_t0005"
"rennes2","rennes_t0000"
"rennes2","rennes_t0001"
"rouen1","rouen_t0000"
"rouen1","rouen_t0001"
"rouen2","rouen_t0000"
"rouen2","rouen_t0001"
"rouen2","rouen_t0002"
"rouen2","rouen_t0003"
"rouen3","rouen_t0000"
"rouen3","rouen_t0002"
"stetienne3","stetienne_t0000"
"stetienne3","stetienne_t0001"
"stetienne8","stetienne_t0000"
"stetienne8","stetienne_t0001"
"stetienne9","stetienne_t0000"
"stetienne9","stetienne_t0001"
"stetienne10","stetienne_t0000"
"stetienne10","stetienne_t0002"
"stetienne12","stetienne_t0000"
"stetienne12","stetienne_t0001"
"strasbourg1","strasbourg_t0000"
"strasbourg1","strasbourg_t0001"
"strasbourg2","strasbourg_t0000"
"strasbourg2","strasbourg_t0001"
"strasbourg3","strasbourg_t0000"
